Name,Description,Note
The Dreamer,"You may cheat. You will be punished if caught. Unlimited use.","There are many ways to cheat."
The Believer,"This character does not have any ability. However, you believe in yourself, and that's all that matters.","This character does not do anything special."
The Cat,"When it's your turn. You may click on a revealed card to flip it face down. Unlimited use.","The player may click on a revealed card (card facing up) in the player table and make it face down. The reverse card flip animation will play and the resulting effect will be visible to everyone."
The Confused,"Jacks now also function as Jokers.","For The Confused, Jacks count as wild trump cards when checking plays and BS, but they still remain Jacks for 4-of-a-kind scoring and do not count toward the Reverse Rule. This character will not be available if the game does not have Jacks in the deck."
The Deranged,"Whenever you get a point, remove 2 cards in hand of your choice from the game. Unlimited use.","The player can also choose not to remove any cards in hand."
The Foreigner,"When you pass, you may add a card from outside of the game to your hand. Unlimited use.","That is, the player may add any card of their wish, including a joker, regardless of what cards are currently in the game right now."
The Grandmaster,"You may call BS on anyone. One use only.","The player may call BS on any player that has Played in their last turn. That is, the target player must have hidden play in front of them."
The Invisible Hand,"Before you start a round, you may choose to decide the rank, the direction, and the player to start the round with. One use only.","Timing: when the player is the starting player and it is the player's first turn of the round."
The Philanthropist,"If you are the starting player, you may declare to use this ability and play 3 cards on any number of your turns that round. One use only.","This ability may be used on any of the player's turn as long as they are the starting player. Once this ability is used, the player gain the ability to play 3 cards at a time on any turn of that round."
The Privileged,"By default, you are always the starting player, unless another character's ability says otherwise. +1 point after leaving the game.","If a player has this character then they will always be a starting player. If this contradicts another character's ability, then follow the other character's ability."
The Rogue,"At the start of a round, if every card in your hand is of the suit Club. You may show your hand to everyone, and become the starting player. Unlimited use.",
The Speedrunner,"If you are the first to leave the game and you have exactly 2 points, you have 0 points instead.",
The Spy,"When it's your turn, you reveal only one card of your last played hand if there is at least 2 hidden cards in front of you. Unlimited use.","This ability is always active and will always trigger if the player played at least 2 cards on their last turn. The card to be revealed is random."
The Streamer,"If you leave the game without ever passing, lose 2 points.","Negative number of points is possible."
The Pacifist,"If you leave the game without ever calling BS, lose one point.","Negative number of points is possible."
The Drunkard, "Whenever you decide to play card(s), you may play random card(s). If you have always played randomly, -3 points after leaving the game.", "There should be an new action called Play Random with a drop down next to the button to select the number of cards to play randomly. If the player has always used Play Random to play their cards, then they will lose 3 points after leaving the game. If the player has used the normal Play action at least once, then they will not lose points after leaving the game."
The Pawn, "New Action: En Passsant. If your previous non passing player played two cards in a turn. You may call BS on the previous non passing player of that player. Unlimited use.", "The enpassant action is only available if the previous non passing player played two cards in a turn and there needs to be another previous non passing player before that player who played 2 cards for enpassant to be available."
The Contrarian, "On your turn, you may change the direction of the game by clicking on the direction arrow on the right of the screen. Unlimited use.", "The direction is either clockwise or counterclockwise (The arrow either points upwards or downwards)."
